Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AM;1301209;Coari;21995212,7;17459027,44;28069715,26;25196723,96;47205935,39;62958553,35;87474218,46;163732773,79;83446437,54;106973773,14;147669327,14;
AM;1301308;Codajás;3022139,31;3206669,92;3451970,18;4262667,71;9726349,1;10269556,51;11939373,47;8661612,43;17982167,28;21230685,82;18149450,85;
AM;1301407;Eirunepé;192410,07;0;128000;166212,35;3562784,09;4122431,89;5384318,41;3037589,08;18810531,36;32473280,45;16905949,07;
AM;1301506;Envira;4795961,17;2016777,59;1721421,68;1782394,99;3343308,77;3132508,53;2867344,19;1471069,2;6372126,53;6718170,99;8740411,2;
AM;1301605;Fonte Boa;23125910,37;4703878,39;2420990,45;2241609,87;1945875,83;2430058,35;3297013,69;2707497,18;3086383,03;12373619,94;11921997,36;
AM;1301654;Guajará;0;1523662,51;558573,93;5655960,85;1616041,76;834381,89;3518619,66;1949983,75;1358440,91;12849906,57;14932386,85;
AM;1301704;Humaitá;9833415,64;9185381,31;7855554,53;8977293,12;24093705,6;11155374,65;12438637,78;14620411,53;54034164,66;22353241,94;26029312;
AM;1301803;Ipixuna;617647,19;2494736,66;2456455,11;1554266,43;2751974,42;3193763,08;5499146,57;5120275,21;5518534,08;10312276,62;6984022,12;
AM;1301852;Iranduba;2317728,46;3336396,26;4464100,07;4257905,27;7446972,11;9202665,31;15136906,97;19374049,53;;28387269,42;36590216,36;
AM;1301902;Itacoatiara;26741172,53;17623442,42;15601962,07;24049998,56;16917650,65;17242410,23;24991932,87;90295871,91;42230065,82;43163322,1;67261342,39;
AM;1301951;Itamarati;;8612981;3032053,48;3396938,64;4992847,77;3107712,67;3600242,59;6570481,88;8597346,87;13759752,75;11731509,02;
AM;1302009;Itapiranga;2342539,77;2985811,49;509619,79;1217879,12;1646902,87;2205069,71;4596923,37;4119072,62;7365390,37;12466983,92;16126895,3;
AM;1302108;Japurá;1639442,07;1481717,87;809141,6;977516,67;2230676,4;3978319,15;1855332,43;5461093,43;13322593,59;6919263,12;10411511,72;
AM;1302207;Juruá;14442559,75;10591104,15;5812308,39;4740605,65;2610894,13;3771019,39;4356111,62;5991983,91;5135278,68;11316951,67;25187905,08;
AM;1302306;Jutaí;1419657,27;1255977,39;1698275,55;4763216,08;5121727,5;5920436,92;7062920,19;6342780,35;11539675,96;15284339,09;14341000,91;
AM;1302405;Lábrea;465542,42;787502,16;2184775,41;807628;1456618,61;;2630718,54;10864811,48;15312723,01;4549534,3;10666752,19;
AM;1302504;Manacapuru;12356187,03;10549949,53;11226181,99;13183390,41;18198647,23;20889635;31684316,57;20311560,78;25355007,12;70018617,33;62349601,09;
AM;1302553;Manaquiri;2466703,64;1769678,65;2840679,8;2385078,66;2173364,89;3264018,41;10481803,9;8181855,05;3095929,71;5623266,1;13462680,98;
